fold,train_start,train_end,validation_start,validation_end,naive_mae,naive_rmse,linear_mae,linear_rmse
192,2010-03-26,2025-09-25,2025-09-26,2025-10-06,177.85714285714286,201.4025819099646,227.7786797399015,245.05011702693622
193,2010-03-26,2025-10-06,2025-10-07,2025-10-15,92.85714285714286,104.79640124682581,213.14769998013404,237.08363835935677
194,2010-03-26,2025-10-15,2025-10-16,2025-10-27,84.57142857142857,92.09467178631222,65.72797029478455,77.2434295090506
195,2010-03-26,2025-10-27,2025-10-28,2025-11-05,112.71428571428571,113.970547573861,146.2670032894,150.52092345576528
196,2010-03-26,2025-11-05,2025-11-06,2025-11-14,174.71428571428572,182.14162464569,177.23333643602686,199.66028966685732
197,2010-03-26,2025-11-14,2025-11-17,2025-11-25,357.85714285714283,374.60817625124747,388.2264895013188,406.2931978349167
198,2010-03-26,2025-11-25,2025-11-26,2025-12-04,323.2857142857143,389.9390062194709,310.32161395448776,413.24904110501
199,2010-03-26,2025-12-04,2025-12-05,2025-12-15,419.42857142857144,431.3831574962432,146.14336463179038,199.52299182253878
200,2010-03-26,2025-12-15,2025-12-16,2025-12-24,251.42857142857142,254.0303693880489,67.91978085951996,75.8072331651356
201,2010-03-26,2025-12-24,2026-01-02,2026-01-12,188.42857142857142,212.41031720974115,110.41990237143783,127.19627559464283
202,2010-03-26,2026-01-12,2026-01-13,2026-01-21,287.57142857142856,301.7716733842705,271.9631213496036,282.38152666317427
203,2010-03-26,2026-01-21,2026-01-22,2026-01-30,190.42857142857142,216.45619814245495,253.3376456994791,304.48540931169873
204,2010-03-26,2026-01-30,2026-02-02,2026-02-10,143.14285714285714,147.31016840084635,217.55152346576259,225.35618904972216
205,2010-03-26,2026-02-10,2026-02-11,2026-02-19,62.285714285714285,79.91781492794422,128.126575717067,152.60427915275756
206,2010-03-26,2026-02-19,2026-02-20,2026-03-02,139.0,163.09812997088594,141.24955368969822,169.690547868711
207,2010-03-26,2026-03-02,2026-03-03,2026-03-11,122.71428571428571,151.69000343746168,179.58763387813994,214.90363849095422
208,2010-03-26,2026-03-11,2026-03-12,2026-03-20,40.714285714285715,44.11834733337788,55.226454418996774,61.25010173876778
209,2010-03-26,2026-03-20,2026-03-23,2026-03-31,124.57142857142857,144.5287910022478,133.27823876266984,149.4907808849937
210,2010-03-26,2026-03-31,2026-04-01,2026-04-13,419.14285714285717,421.2562843956837,361.1759393976484,364.489746039726
211,2010-03-26,2026-04-13,2026-04-14,2026-04-22,127.28571428571429,157.4715393786627,70.87574737321509,87.37122681656633
212,2010-03-26,2026-04-22,2026-04-23,2026-05-01,331.57142857142856,342.25157831212823,458.57009838091193,464.5070171784309
213,2010-03-26,2026-05-01,2026-05-05,2026-05-13,136.85714285714286,175.47079529084036,159.6158415764955,193.3339983499105
